code,ticker,conm,n
00106201,ASA,ASA GOLD AND PRECIOUS METALS,1
00111901,ADX,ADAMS DIVERSIFIED EQUITY FD,2
00141701,VBF,INVESCO BOND FUND,3
00502401,GAM,GENERAL AMERICAN INVESTORS,4
00545701,JHS,HANCOCK (JOHN) INCOME SEC,5
00602401,ICB,MORGAN STANLY INCOME SEC,6
00665701,SBF.1,SALOMON BROTHERS FUND INC,7
00754301,MTS,MONTGOMERY STREET INCOME SEC,8
00830701,SMM,SALIENT MIDSTREAM & MLP FUND,9
00833501,PDI,PIMCO DYNAMIC INCOME FUND,10
01034101,ETUB,EUNITS 2 YR U S MKT PARTN II,11
01071301,TY,TRI-CONTINENTAL CORP,12
01199601,CTR,CLEARBRIDGE ENERGY MLP TOTAL,13
01201901,MMD,MAINSTAY MACKAY DEFINDTRM MU,14
01303801,NDP,TORTOISE ENERGY INDEPENDENCE,15
01307201,JPI,NUVEEN PFD AND INC TERM FD,16
01307601,LDP,COHEN & STEERS LTD DR P&I FD,17
01393501,BTT,BLACKROCK MUNI 30 TARG TERM,18
01465901,BCV,BANCROFT FUND LTD,19
01466001,CVF.1,CASTLE CONVERTIBLE FUND INC,20
01466101,CET,CENTRAL SECURITIES CORP,21
01466601,ECF,ELLSWORTH GRWTH INCM FD LTD,22
01466701,FAX,ABERDEEN ASIA PACIFIC INCOME,23
01466901,MIF.1,MUNIINSURED FUND INC,24
01467201,IAF,ABERDEEN AUSTRALIA EQTY FD,25
01468101,EMF,TEMPLETON EMERGING MKTS FUND,26
01468201,ACG,ALLIANCEBERNSTEIN INCOME FD,27
01468301,GSF.1,ACM GOVT SECURITIES,28
01468401,VIN,VAN KAMPEN INCOME TR,29
01468501,HSF,HARTFORD INCOME SHARES FD,30
01468601,APB,ASIA PACIFIC FUND,31
01468701,BLU.1,BLUE CHIP VALUE FUND INC,32
01468801,BZF.1,BRAZIL FUND,33
01469001,CNN,PROSPECT STREET INCOME SHS,34
01469101,CLM,CORNERSTONE STRAT VALUE FD,35
01469201,CMU,MFS HIGH YIELD MUNICIPAL TR,36
01469301,SPR.2,STERLING CAPITAL CORP,37
01469401,TWN,TAIWAN FUND INC,38
01469501,TFA.,MORGAN STANDW MUNI INCOME TR,39
01469601,TFB,MORGAN STANDW MUNI INC TR II,40
01469701,GVT.1,MORGAN STANLY GVT INCOME SBI,41
01469801,INSI,INSIGHT SELECT INCOME FD,42
01469901,VXS,VAN KAMPEN CONV SEC FD,43
01470001,DNP,DNP SELECT INCOME FUND INC,44
01470101,CRF,CORNERSTONE TOTAL RETURN FD,45
01470301,CIK,CREDIT SUISSE ASST INCOME FD,46
01470401,CGF,CREDIT SUISSE ASSET MGMT STR,47
01470601,FDI,FORT DEARBORN INCOME SECS,48
01470801,GAB,GABELLI EQUITY TRUST,49
01471001,EEA,EUROPEAN EQUITY FUND INC,50
01471401,ASG,LIBERTY ALL-STAR GROWTH FUND,51
01471501,JHI,JOHN HANCOCK INVESTORS TRUST,52
01471601,HQH,TEKLA HEALTHCARE INVESTORS,53
01471701,HAT,HATTERAS INCOME SECS,54
01471801,SWZ,SWISS HELVETIA FUND,55
01471901,YLD.1,MORGAN STANLY HIGH INCM ADV,56
01472001,HYI.1,HIGH YIELD INCOME FUND,57
01472101,HYP,HIGH YIELD PLUS FUND,58
01472301,IIS,CIGNA INVESTMENT SECURITIES,59
01472401,ITA.2,ITALY FUND INC,60
01472501,KHI,DEUTSCHE HIGH INCOME TRUST,61
01472601,KGT,SCUDDER INTERM GVT TR,62
01472701,DSF.1,DRESDNER RCM GLBL STRATGIC,63
01472801,KF,KOREA FUND,64
01472901,USA,LIBERTY ALL-STAR EQUITY,65
01473001,LNV,LINCOLN NATIONAL CV SEC,66
01473101,LND.1,LINCOLN NATIONAL INCOME FUND,67
01473301,MGF,MFS GVT MKTS INCOME TR,68
01473401,MIN,MFS INTERM INCOME SBI,69
01473501,MMT,MFS MULTIMARKET INCOME TR,70
01473701,MFM,MFS MUNICIPAL INC TR,71
01473801,MAY,MALAYSIA FUND,72
01473901,MCI,BARINGS CORPORATE INVESTORS,73
01474001,MXF,MEXICO FUND INC,74
01474101,MGC.2,INVESTORS FIRST FUND INC,75
01474201,MUO,PIONEER INTEREST SHS INC,76
01474301,HYB,NEW AMERICA HI INCOME FUND,77
01474601,NCM.,NUVEEN CAL MUNI INCOME FD,78
01474701,NMI,NUVEEN MUNICIPAL INCOME FUND,79
01474801,NUV,NUVEEN MUNI VALUE FUND INC,80
01474901,NNY,NUVEEN N Y MUNI VALUE FUND,81
01475001,NPI,NUVEEN PREM INCOME MUN FD,82
01475101,OMS,OPPENHEIMER MULTI-SECTOR,83
01475201,PAI,WESTERN ASST INV GRD INCM FD,84
01475301,PEO,ADAMS NATURAL RESOURCES FUND,85
01475701,PCF,HIGH INCOME SECURITIES FUND,86
01475901,PMT.2,PUTNAM MASTER INCOME TR,87
01476001,PIM,PUTNAM MASTER INTERM INCOME,88
01476301,RVT,ROYCE VALUE TRUST,89
01476501,SAF.1,SCUDDER NEW ASIA FUND INC,90
01476701,SNF,IBERO-AMERICA FUND INC,91
01476801,ALM.2,ALLMERICA SECS TR,92
01476901,TSI,TCW STRATEGIC INCOME FUND,93
01477001,GIM,TEMPLETON GLOBAL INCOME FUND,94
01477101,TTF,THAI FUND INC,95
01477201,TAI.1,TRANSAMERICA INCOME SHARES,96
01477401,VES.,VESTAUR SECURITIES FUND,97
01477601,ZIF,WESTERN ASST ZENIX INCOME FD,98
01477701,ZF.1,ZWEIG FUND INC,99
01477801,SI.2,ACM GVT SPECTRUM FUND,100
01477901,LEO,BNY MELLON STRATEGIC MUNS IN,101
01478001,DSI.1,DREYFUS STRATEGIC GVT,102
01478201,CUR.1,CURRENT INCOME SHS,103
01478301,CPF.2,COMSTOCK PTNRS STRATEGY,104
01479701,CIM.1,CIM HIGH YIELD SECURITIES,105
01480401,PPT,PUTNAM PREMIER INCOME TR,106
01484601,BGB,BLACKSTONE/GSO STRATEGIC CRD,107
01484701,SZC,CUSHING NEXTGEN INFRSTR INC,108
01496801,DCG,DREYFUS CAL MUNI INCOME,109
01496901,DMF,BNY MELLON MUNICIPAL INCOME,110
01497001,DNM,DREYFUS N Y MUNI INCOME,111
01497101,MVF,BLACKROCK MUNIVEST FUND INC,112
01497201,RIF.2,COHEN & STEERS RLTY INCM FD,113
01497401,PHF,PACHOLDER HIGH YIELD FD INC,114
01497501,VKC,VAN KAMPEN CALIF MUN TR,115
01499501,BIF,BOULDER GROWTH & INC FUND,116
01514301,BKT,BLACKROCK INCOME TRUST INC,117
01520901,BKF.1,BKF CAPITAL GROUP INC-OLD,118
01521001,ZTR,VIRTUS GLOBAL DIV & INCM FD,119
01522601,KTF,DWS MUNICIPAL INCOME TRUST,120
01523701,HIS,BLACKROCK HIGH INCOME SHARES,121
01536501,AOF.1,ACM GVT OPPORTUNITY FD,122
01536601,AMF,ACM MANAGED INCOME FUND,123
01536701,OIA,INVESCO MUNICIPAL INCOME OPP,124
01536801,PIA,INVESCO MUNICIPAL PREM INCM,125
01537101,BTT.1,BLACKROCK TARGET TERM TRUST,126
01537201,CXE,MFS HIGH INCOME MUNI TRUST,127
01537301,CIF,MFS INTERMEDIATE HIGH INCOME,128
01537401,CXH,MFS INVESTMENT GRADE MUNI TR,129
01537701,FT,FRANKLIN UNIVERSAL TRUST,130
01537801,YLH,MORGAN STNLY HGH INC ADV III,131
01537901,IGF.1,INDIA GROWTH FUND INC,132
01538001,KMM,DEUTSCHE MULTI-MARKET INCOME,133
01538101,KSM,DWS STRATEGIC MUN INCM TRUST,134
01538401,MPV,BARINGS PARTICIPATON INVSTRS,135
01538501,MHF,WESTERN ASST MUNI HI INCM FD,136
01538601,MEN,BLACKROCK MUNIENHANCED FUND,137
01538801,PDF,HANCOCK J PATRIOT PREM DIV,138
01538901,PHY,PROSPECT STREET HI INCOME,139
01539001,PYM,PUTNAM HI YIELD MUNI,140
01539101,PMM,PUTNAM MANAGED MUNI INCOME,141
01539201,JMM,NUVEEN MULTI-MKT INCM FD,142
01539301,TFC.2,SHELTON GREATER CHINA FUND,143
01539501,TGG,TEMPLETON GLOBAL GVTS,144
01539701,VIT.1,VAN KAMPEN HIGH INCOME TR,145
01539801,VLT,INVESCO HIGH INCOME TRUST II,146
01546201,OIB,INVESCO MUNI INCOME OPP II,147
01546301,YLT,MORGAN STANLY HGH INC ADV II,148
01546401,NPP,NUVEEN PERFORM PLUS MUNI,149
01606801,BGH,BARINGS GLBL SH DUR HI YLD F,150
01609301,EDI,STONE HARBOR EMERG MKTS TOTL,151
01648401,NCA,NUVEEN CAL MUNI VAL FD,152
01649601,TFC..,MORGAN STANDW MNI INC TR III,153
01650401,APX.2,BLACKROCK APEX MUNICIPAL FD,154
01653001,ARDC,ARES DYNAMIC CREDIT ALLOC FD,155
01653301,FEI,FIRST TR MLP & ENRGY INCM FD,156
01655101,FPF.1,FIRST PHILIPPINE FUND INC,157
01657101,AEF,ABERDEEN EMRG MKT EQT INM FD,158
01657201,CMK,MFS INTERMARKET INCOME TR I,159
01657601,FMI.1,FRANKLIN MULTI-INCOME TR,160
01657801,HTR,BROOKFIELD TOTAL RETURN FUND,161
01657901,MCR,MFS CHARTER INCOME TR,162
01658101,PGF.1,PROGRESSIVE RETURN FUND INC,163
01658401,PDI.,PUTNAM DIVIDEND INCOME FUND,164
01658501,PGM.1,PUTNAM INVT GRADE MUN TR,165
01665401,NID,NUVEEN INTER DURATION MUNI,166
01677101,CINS,CIRCLE INCOME SHS INC,167
01679801,GHY,PGIM GLOBAL HI YIELD FND INC,168
01710201,MFV,MFS SPECIAL VALUE TRUST,169
01710301,NCP,NUVEEN CAL PERFORM PLUS MUN,170
01710401,NNP,NUVEEN N Y PERFORM PLUS MUN,171
01720001,DSM,BNY MELLON STRG MNPL BD FD,172
01720401,VIG.1,VAN KAMPEN INVT GRADE MUN TR,173
01721001,PCI,PIMCO DYNAMIC CREDIT AND MTG,174
01728001,FUND,SPROTT FOCUS TRUST INC,175
01733001,NIQ,NUVEEN INTERMED DUR QUAL MUN,176
01740201,BIT,BLACKROCK MULTI-SECT INCM TR,177
01741101,AIF,APOLLO TACTICAL INCOME FUND,178
01760401,BOI,BROOKFIELD MORTGAGE OPP INCM,179
01760501,ETX,EATON VANCE MUNI INC 2028 TR,180
01760601,MIE,COHEN & STEERS INCM & EN,181
01760901,NML,NEUBERGER BERMAN MLP INCM FD,182
01783901,DMB,BNY MELLON MUN BD INFRASTRUC,183
01784001,DSL,DOUBLELINE INCOME SOLTNS FD,184
01803801,FPF,FIRST TRUST INT DUR PFD INCM,185
01803901,DFP,FLAHERTY & CRUMRINE DYNM PFD,186
01804601,IVH,IVY HI INCM OPPORTUNITIES FD,187
01821001,GGM,GUGGENHEIM CREDIT ALLOCATION,188
01824201,CBA,CLEARBRIDGE AMERN ENERGY MLP,189
01824301,EFF,EATON VANCE FLTG-RT INCM PL,190
01824401,JPW,NUVEEN FLEXIBLE INVT INCM FD,191
01824501,PGZ,PRINCIPAL REAL EST INCME FD,192
01842801,KIO,KKR INCOME OPPORTUNITIES FD,193
01870201,TKF,TURKISH INVESTMENT FUND INC,194
01876701,FSLF,FIRST EAGLE SENIOR LOAN FUND,195
01879001,CEN,CENTER COAST MLP & INFRAS FD,196
01881701,RGT,ROYCE GLOBAL VALUE TRUST INC,197
01903801,ARMF,ARES MULTI-STRATEGY CR FUND,198
01910701,BANX,STONECASTLE FINANCIAL CORP,199
01924901,GMZ,GOLDMAN SACHS MLP INCM OPPS,200
01943401,PDT,HANCOCK J PREMIUM DIV FUND,201
02001301,NMA,NUVEEN MUN ADVANTAGE FD INC,202
02006601,FPL,FIRST TR NEW OPP MLP &ENERGY,203
02007001,JMLP,NUVEEN ALL CAP ENERGY MLP OP,204
02019001,GF,NEW GERMANY FUND INC,205
02078501,SEL,SELIGMAN SELECT MUN FD INC,206
02081901,GGZ,GABELLI GBL SM & MID CAP VAL,207
02090501,IF,ABERDEEN INDONESIA FUND INC,208
02091201,CEE,CTRL EUR RUSSIA & TURKEY FD,209
02097401,DSE,DUFF & PHELPS SELECT MLP AND,210
02106501,JOF,JAPAN SMALL CAP FUND INC,211
02116901,IRL,NEW IRELAND FUND INC,212
02123601,THQ,TEKLA HEALTHCARE OPPTYS FUND,213
02142501,OIC.1,INVESCO MUNI INCOME OPP III,214
02142601,BAT.1,BLACKROCK ADVANTAGE TERM TR,215
02149001,EF.1,BLACKROCK EUROPE FUND INC,216
02164401,DRA,DIVERSIFIED REAL ASSET INCM,217
02171101,NMO,NUVEEN MUN MKT OPPORTNTY FD,218
02176801,FRF.1,FRANCE GROWTH FUND INC,219
02184001,GER,GOLDMAN SACHS MLP & ENER REN,220
02192101,ECC,EAGLE POINT CREDIT CO INC,221
02197101,TF.1,THAI CAPITAL FUND INC,222
02204101,BST,BLACKROCK SCIENCE AND TECH,223
02225301,NCO,NUVEEN CA MUN MKT OPP FD INC,224
02230701,HIE,MILLER/HOWARD HGH INCM EQ FD,225
02231001,JGH,NUVEEN GLOBAL HIGH INCOME FD,226
02254801,NQM,NUVEEN INVT QUALITY MUN FD,227
02255501,GRF,EAGLE CAPITAL GROWTH FUND,228
02279201,EWF,EUROPEAN WARRANT FUND INC,229
02282701,LAQ,ABERDEEN LATIN AMER EQTY FD,230
02283101,DIV.2,HANCOCK J PATRIOT SELECT DIV,231
02283401,SGF,ABERDEEN SINGAPORE FUND INC,232
02304801,MXE,MEXICO EQUITY & INCOME FUND,233
02342101,CCD,CALAMOS DYN CONV & INCM FUND,234
02346701,NQC,NUVEEN CA INVT QUAL MUN FD,235
02346801,NQN,NUVEEN NY INVT QUAL MUN FD,236
02353201,NQI,NUVEEN QUALITY MUNI FD INC,237
02359301,PFD,FLAHERTY & CRUMRINE PFD INCM,238
02366601,IMC.3,INVESCO VALUE MUNI BD TR,239
02367301,NQF,NUVEEN FLA INVT QUAL MUN FD,240
02367401,NQJ,NUVEEN N J INVT QUAL MUN FD,241
02367501,NQP,NUVEEN PA QUAL MUN INCM FD,242
02376501,AXT.1,AMERICAN MUN TERM TR INC,243
02380301,NQS,NUVEEN SELECT QUAL MUN FD,244
02405901,NVC,NUVEEN CA SELECT QTY MUN FD,245
02406001,NVN,NUVEEN N Y SELECT QTY MUN FD,246
02408101,ACV,VIRTUS ALLIANZGI DIVERSI FD,247
02410901,FTHY,FIRST TR HIGH YIELD OP 20 FD,248
02419201,NQU,NUVEEN QUAL INCM MUN FD INC,249
02447601,NIO.1,NUVEEN MUNI OPPORTUNITY FD,250
02449001,BMN.1,BLACKROCK MUN TARGET TRM TR,251
02449401,IQT,INVESCO QUALITY MUNI INVSTMT,252
02454001,AF.1,ARGENTINA FUND INC,253
02454901,EGIF,EAGLE GROWTH AND INCOME OPPY,254
02455301,NUF,NUVEEN FL QUALITY INC MUN FD,255
02455401,NUM,NUVEEN MICH QUAL MUN INCM,256
02455501,NUO,NUVEEN OH QUAL MUN INCM FD,257
02455901,NTX,NUVEEN TEX QL MUN INCM FD,258
02461301,LAQ.Z,LATIN AMERICAN EQUITY FUND,259
02462401,MSF,MORGAN STAN EMERGING MKTS FD,260
02468201,VNM.1,VAN KAMPEN NY QUALITY MUN TR,261
02468301,VKQ,INVESCO MUNICIPAL TRUST,262
02470501,NUC,NUVEEN CA QLTY INCM MUN FD,263
02471801,NUN,NUVEEN NY QLTY INCM MUN FD,264
02471901,SQF,SELIGMAN QUALITY MUN FD INC,265
02472901,DTF,DTF TAX FREE INCOME,266
02473701,VQC,VAN KAMPEN CALIF QUALITY MUN,267
02473801,VFM,VAN KAMPEN FL QUALITY MUN TR,268
02473901,VOQ,INVESCO VAN KAMPEN OHIO QTY,269
02474001,VPQ.Z,VAN KAMP AM CAP PA QUAL MUN,270
02474201,JF,JUNDT GROWTH FUND INC,271
02477501,NIF,NUVEEN PREMIER MUNI OPPY FD,272
02478401,MYD,BLACKROCK MUNIYIELD FUND INC,273
02480501,ASP,AMERN STRATEGIC INCM PTF INC,274
02480601,BNA,BLACKROCK INCOME OPP TR,275
02481801,NPF,NUVEEN PREMIER MUN INCM FD,276
02483801,THW,TEKLA WORLD HEALTHCARE FUND,277
02486601,SGL,STRATEGIC GLOBAL INCM FD INC,278
02491701,PFO,FLAHERTY & CRUMR PFD INCM OP,279
02493001,KIF,KOREAN INVESTMENT FUND INC,280
02493801,VIM,INVESCO VAN KAMPEN TR VL MN,281
02493901,VGM,INVESCO TRUST FOR INV GR MUN,282
02494901,BMT,BLACKROCK INSD MUN TM TR INC,283
02495001,IMT,INVESCO VALUE MUNICIPAL TR,284
02501401,SBI,WESTERN ASSET INTERM MUNI FD,285
02502401,FCO,ABERDEEN GLOBAL INCOME FD,286
02503401,PPR,VOYA PRIME RATE TRUST,287
02503901,MYC,BLACKROCK MUNIYIELD CALIF FD,288
02504001,MYF,BLACKROCK MUNIYIELD INV FUND,289
02504101,MYM,BLACKROCK MUNIYLD MI QLTY II,290
02504201,MYN,BLACKROCK MUNIYLD NY QLTY FD,291
02506401,NXP,NUVEEN SLCT TX FR INCM PTL,292
02510101,LTT,LIBERTY TERM TR INC - 1999,293
02512501,BZL,BRAZILIAN EQUITY FUND INC,294
02516301,MYI,BLACKROCK MUNYLD QLTY FD III,295
02517601,MNB,MINNESOTA MUN TERM TR INC II,296
02518901,VMN,DELAWARE INV MIN MUN INCM,297
02519301,BQT,BLACKROCK INVT QLTY TERM TR,298
02521101,HQL,TEKLA LIFE SCIENCES INVESTOR,299
02524401,VTN,INVESCO TRUST FOR INV GR NY,300
02524501,VTF,VAN KAMPEN TR INVT FLA MUN,301
02524601,VTJ,INVESCO VAN KAMPEN GRADE NJ,302
02524701,VTP,VAN KAMPEN AM CAP TR INVT PA,303
02529001,MYJ,BLACKROCK MUNIYLD NJ FD INC,304
02530101,NXQ,NUVEEN SELECT TX FR INCM PTL,305
02532901,VMO,INVESCO MUNICIPAL OPPTY TR,306
02533701,VIC,VAN KAMPEN TR INVT GRADE CA,307
02540901,ETF.1,EMERGING MKTS TELECMS FD-OLD,308
02541201,LDF,LATIN AMERICAN DISCOVERY FD,309
02541501,NXC,NUVEEN CA SEL TAX FREE INCM,310
02541601,NXN,NUVEEN NY SEL TAX FREE INC,311
02541701,PMH,PUTNAM TAX-FREE HEALTH CARE,312
02548301,JHY,NUVEEN HI INCOME 2020 TARGET,313
02552401,CHN,CHINA FUND INC,314
02553701,GCH,ABERDEEN GREATER CHINA FUND,315
02555501,MMU,WESTERN ASST MANAGED MUNI FD,316
02556501,MIC.1,MUNIYIELD CALIF INSD FD INC,317
02556601,MYT.1,MUNIYIELD N Y INSD FD II INC,318
02556701,MQY,BLACKROCK MUNIYIELD QLTY FD,319
02557401,JFC,JPMORGAN CHINA REGION FD INC,320
02559101,LBF,DEUTSCHE GLOBAL HIGH INCM FD,321
02559301,NPM,NUVEEN PREM INCOME MUN FD 2,322
02559401,NXR,NUVEEN SLCT TX FR INCM PTL 3,323
02559501,PGD.2,HANCOCK J PATRIOT GLOBAL DEV,324
02559701,BSP,AMER STRATEGIC INCM PTFL II,325
02562001,SBT.3,SMITH BARNEY MUN FD INC,326
02565901,JEQ,ABERDEEN JAPAN EQUITY FD INC,327
02567501,BTM.1,BLACKROCK 2001 TERM TR INC,328
02573301,BFC.3,BLACKROCK CA INSD MUN 2008,329
02573401,BRF.1,BLACKROCK FLA INSD MUN,330
02573501,BRM,BLACKROCK INSD MUN 2008 TRM,331
02573601,BLN.2,BLACKROCK N Y INSD MUN 2008,332
02574101,IOF,INCOME OPPORTUNITIES FD 1999,333
02574201,MQT,BLACKROCK MUNIYIELD QLTY II,334
02580201,MTU.2,MANAGED MUN PORTFOLIO II INC,335
02585501,ISL,ABERDEEN ISRAEL FUND INC,336
02586501,EMD.1,WESTERN ASST EMG MKT IN -OLD,337
02586801,HTB.1,HYPERION 2002 TERM TR INC,338
02586901,HTA.1,HYPERION 1997 TERM TR INC,339
02588301,PPM.1,INVESTMENT GRADE MUN INCM FD,340
02589701,AWG,ALLIANCE WORLD DLR GOVT FD,341
02590701,MJI,BLACKROCK MUNIYLD NJ QLTY FD,342
02590801,MCA,BLACKROCK MUNIYLD CA QLTY FD,343
02590901,MFT,BLACKROCK MUNIYLD INVST QLTY,344
02591101,MIY,BLACKROCK MUNIYLD MI QLTY FD,345
02591201,MPA,BLACKROCK MUNIYLD PA QLTY FD,346
02593901,CXT.1,AMERICAN MUN TERM TR INC III,347
02594101,NAZ,NUVEEN ARIZ QTY MUN INCM,348
02594301,NPC,NUVEEN INSD CALIF PREM INCM,349
02602901,IFT.1,INCOME OPPORTUNITIES FD 2000,350
02603201,BNN.,BLACKROCK 1999 TERM TR INC,351
02604101,TTR.1,2002 TARGET TERM TR INC,352
02605101,NNJ,NUVEEN N J PREM INCM MUN FD,353
02605301,NMP,NUVEEN MICH PREM INCM MUN FD,354
02605401,NNF,NUVEEN NY PREM INCM MUNI FD,355
02605701,NFL,NUVEEN INSD FLA PREM INCM,356
02609001,TRM.2,TCW/DW TERM TR 2002,357
02609801,VMT,VAN KAMPEN MUN INCOME TR,358
