code,ticker,conm,n
00193290,BTI,BRITISH AMER TOBACCO PLC,1
00194591,BOX.1,BOC GROUP PLC,2
00241090,BP,BP PLC,3
00272190,CAJ,CANON INC,4
00424590,ELN,ELAN CORP PLC,5
00443990,ERIC,TELEFONAKTIEBOLAGET LM ERICS,6
00518090,GSK,GLAXOSMITHKLINE PLC,7
00569190,HMC,HONDA MOTOR CO LTD,8
00619790,IYCOY,ITO-YOKADO CO LTD,9
00802090,NVO,NOVO NORDISK A/S,10
00854490,PHI,PLDT INC,11
00854493,PHI.PA,PLDT INC,12
00854690,PHG,KONINKLIJKE PHILIPS NV,13
00859490,PIO.1,PIONEER CORP,14
00909890,TRIN.1,THOMSON REUTERS PLC,15
00965591,SC.1,SHELL TRANSPORT AND TRADING,16
00981890,SNE,SONY CORP,17
01013790,SMFG,SUMITOMO MITSUI FINANCIAL GR,18
01075590,TAM.1,TUBOS DE ACERO DE MEXICO,19
01084690,UN,UNILEVER PLC,20
01084691,UL,UNILEVER PLC,21
01238490,RDS.A,ROYAL DUTCH SHELL PLC,22
01238491,RDS.B,ROYAL DUTCH SHELL PLC,23
01267390,BCS,BARCLAYS PLC,24
01282690,HAN,HANSON PLC,25
01329490,NW.1,NATL WESTMINSTER BANK,26
01331290,BHP,BHP GROUP LTD,27
01331291,BBL,BHP GROUP LTD,28
01343690,MNT.1,MONTEDISON SPA - OLD,29
01343691,MNT.P,MONTEDISON SPA - OLD,30
01346790,RP.PA,AVENTIS SA,31
01346793,AVE.2,AVENTIS SA,32
01346794,AVE.X,AVENTIS SA,33
01349890,CUK,CARNIVAL CORPORATION & PLC,34
01368390,TEF,TELEFONICA SA,35
01384590,CMGE,CHINA MOBILE GAMES  -ADR,36
01414090,SAN,BANCO SANTANDER SA,37
01424290,ANSL,ANSELL LTD,38
01426191,SBH.2,SMITHKLINE BEECHAM (UK) PLC,39
01439690,CCTVY,CARLTON COMMUNICATIONS PLC,40
01453890,TEVA,TEVA PHARMACEUTICALS,41
