code,ticker,conm,n
00100401,AIR,AAR CORP,1
00101301,ADCT.1,ADC TELECOMMUNICATIONS INC,2
00103401,ALO.2,ALPHARMA INC  -CL A,3
00103601,UDI.,UNITED DOMINION INDUSTRIES,4
00103801,AEN.2,AMC ENTERTAINMENT INC -OLD,5
00104301,MTI.3,MULTIGRAPHICS INC,6
00104504,AAL,AMERICAN AIRLINES GROUP INC,7
00105001,CECE,CECO ENVIRONMENTAL CORP,8
00105601,ARXX,AEROFLEX INC,9
00106701,ATQ.1,ATI INC,10
00107201,AVX,AVX CORP,11
00107501,PNW,PINNACLE WEST CAPITAL CORP,12
00107601,PRG,PROG HOLDINGS INC,13
00107602,AAN.2,PROG HOLDINGS INC,14
00107801,ABT,ABBOTT LABORATORIES,15
00108101,ABY.2,ABITIBI CONSOLIDATED INC,16
00108201,SERV.1,SERVIDYNE INC,17
00109501,AK,ACKERLEY GROUP INC,18
00109901,ACEE,ACME ELECTRIC CORP,19
00110401,ACU,ACME UNITED CORP,20
00111102,ATVI.1,ACTIVISION INC,21
00111501,ADAC.,ADAC LABORATORIES,22
00111702,BKTI,BK TECHNOLOGIES CORP,23
00112101,AE,ADAMS RESOURCES & ENERGY INC,24
00114801,ADV.2,ADVEST GROUP INC,25
00116101,AMD,ADVANCED MICRO DEVICES,26
00116410,MCIP,MCI INC,27
00117301,AIM.1,AEROSONIC CORP,28
00117701,AET,AETNA INC,29
00118601,AEM,AGNICO EAGLE MINES LTD,30
00120301,AEIC,AIR EXPRESS INTERNATIONAL CP,31
00120901,APD,AIR PRODUCTS & CHEMICALS INC,32
00121001,AIRT,AIR T INC,33
00121301,ABF,AIRBORNE INC,34
00123001,ALK,ALASKA AIR GROUP INC,35
00123401,ATRI,ATRION CORP,36
00123501,AWS.1,ALBA-WALDENSIAN INC,37
00123801,AOG.3,ALBERTA ENERGY CO LTD,38
00123901,ACV.1,ALBERTO-CULVER CO,39
00123902,ACV.A,ALBERTO-CULVER CO,40
